XCOORD.,YCOORD.,EST,TWL,DUR
49,3,0,16000,0
92,92,0,16000,0
89,7,0,16000,0
53,94,0,16000,0
90,37,0,16000,0
11,22,0,16000,0
94,71,0,16000,0
10,94,0,16000,0
44,56,0,16000,0
11,60,0,16000,0
77,2,390,1151,36
29,89,60,1125,20
21,72,152,349,35
12,66,68,997,30
52,55,230,590,25
65,41,45,776,37
66,17,268,495,29
27,7,385,1431,33
92,16,322,570,22
8,18,184,321,21
88,29,41,1599,27
52,55,393,283,37
18,35,369,1247,26
9,54,366,593,31
89,40,205,1530,37
53,43,262,1229,37
7,32,81,1485,33
65,41,184,154,32
15,2,141,1458,27
77,2,330,1346,26
77,2,229,415,35
52,55,79,1209,33
83,97,357,1113,34
92,16,214,1527,21
71,96,309,473,39
94,83,59,1038,30
78,38,238,1025,37
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
