XCOORD.,YCOORD.,EST,TWL,DUR
53,94,0,16000,0
94,71,0,16000,0
11,60,0,16000,0
44,56,0,16000,0
49,3,0,16000,0
89,7,0,16000,0
11,22,0,16000,0
92,92,0,16000,0
10,94,0,16000,0
90,37,0,16000,0
84,55,56,972,27
37,33,117,1477,30
76,22,291,852,28
68,65,352,1373,39
42,60,245,541,39
51,92,302,677,38
88,29,373,1172,21
31,42,115,270,29
9,54,136,1028,22
52,55,113,108,39
31,42,271,410,39
59,63,109,1384,24
7,32,198,1271,35
24,80,306,105,29
92,16,379,749,38
39,2,278,1296,33
20,18,120,975,21
42,68,391,587,35
65,78,255,752,30
30,75,141,1365,25
50,71,336,1125,29
53,7,236,850,23
27,28,168,887,37
27,7,369,679,39
66,17,289,212,26
29,89,285,1042,34
77,2,33,1203,39
10,84,74,324,31
65,41,147,809,22
21,53,346,1263,22
10,84,156,1243,27
30,75,182,157,32
65,78,221,1110,38
88,29,345,1490,27
71,50,384,1229,39
42,68,237,1419,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
