XCOORD.,YCOORD.,EST,TWL,DUR
89,7,0,16000,0
92,92,0,16000,0
53,94,0,16000,0
92,16,155,767,30
66,17,339,1575,24
89,40,115,1104,26
42,60,198,737,34
7,32,297,339,32
31,42,160,1155,23
78,38,355,1326,22
24,80,364,412,31
30,75,312,1107,31
59,63,174,232,26
18,35,367,1396,33
38,14,276,1365,37
65,78,159,1401,38
76,22,26,1262,34
22,61,197,166,34
42,52,170,1566,21
53,7,89,332,39
75,86,365,1246,26
83,97,32,426,37
76,58,178,1358,37
12,66,211,795,22
89,40,282,492,38
94,83,352,1105,28
71,96,133,1434,26
27,7,154,304,33
93,60,63,983,22
39,2,193,672,20
84,55,75,1501,35
10,84,210,100,20
20,18,244,1000,21
12,66,395,465,29
94,83,240,763,31
65,78,99,1540,20
7,32,96,236,28
92,16,232,1313,22
24,80,105,527,35
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,111.0,101.0,9.0,24.0,68.0,81.0,91.0,79.0,57.0,125.0,130.0,70.0,80.0,51.0,85.0,29.0,144.0,81.0,36.0,94.0,104.0,65.0,140.0,68.0,113.0,103.0,62.0,72.0,50.0,63.0,138.0,78.0,140.0,113.0,85.0,91.0,9.0,125.0
111.0,0.0,39.0,115.0,88.0,71.0,50.0,148.0,136.0,66.0,69.0,74.0,41.0,137.0,108.0,27.0,98.0,88.0,52.0,97.0,17.0,9.0,46.0,84.0,71.0,9.0,21.0,119.0,55.0,107.0,49.0,82.0,135.0,84.0,9.0,27.0,148.0,115.0,69.0
101.0,39.0,0.0,105.0,78.0,61.0,39.0,138.0,126.0,56.0,30.0,35.0,31.0,127.0,98.0,16.0,88.0,49.0,42.0,87.0,22.0,30.0,36.0,45.0,61.0,41.0,20.0,109.0,45.0,97.0,39.0,43.0,125.0,45.0,41.0,16.0,138.0,105.0,30.0
9.0,115.0,105.0,0.0,28.0,72.0,85.0,95.0,83.0,61.0,129.0,134.0,74.0,84.0,55.0,89.0,33.0,148.0,85.0,40.0,98.0,108.0,69.0,144.0,72.0,117.0,107.0,66.0,76.0,54.0,67.0,142.0,82.0,144.0,117.0,89.0,95.0,0.0,129.0
24.0,88.0,78.0,28.0,0.0,45.0,58.0,68.0,56.0,34.0,102.0,107.0,47.0,57.0,28.0,62.0,10.0,121.0,58.0,13.0,71.0,81.0,42.0,117.0,45.0,90.0,80.0,39.0,49.0,27.0,40.0,115.0,55.0,117.0,90.0,62.0,68.0,28.0,102.0
68.0,71.0,61.0,72.0,45.0,0.0,47.0,105.0,93.0,11.0,85.0,90.0,30.0,94.0,65.0,45.0,55.0,104.0,47.0,54.0,54.0,64.0,25.0,100.0,0.0,73.0,63.0,76.0,32.0,64.0,23.0,98.0,92.0,100.0,73.0,45.0,105.0,72.0,85.0
