XCOORD.,YCOORD.,EST,TWL,DUR
92,92,0,16000,0
89,7,0,16000,0
44,56,0,16000,0
11,60,0,16000,0
49,3,0,16000,0
10,94,0,16000,0
11,22,0,16000,0
94,71,0,16000,0
53,94,0,16000,0
90,37,0,16000,0
10,42,350,1572,35
15,2,183,1041,38
92,16,256,129,35
27,7,224,666,32
97,72,173,294,35
78,38,200,1464,29
83,97,221,499,20
65,78,141,901,26
39,97,479,1351,33
56,32,178,923,25
8,18,434,640,36
51,92,369,135,33
83,97,360,376,23
20,93,427,1187,27
53,7,249,1231,22
77,2,252,931,26
21,72,279,687,36
8,18,438,936,26
37,33,309,814,35
71,96,417,1069,37
38,14,313,1038,39
21,53,396,1088,22
76,22,314,1205,37
53,43,635,1013,23
27,7,565,1478,31
65,41,387,1123,32
18,35,358,105,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
