XCOORD.,YCOORD.,EST,TWL,DUR
10,94,0,16000,0
89,7,0,16000,0
90,37,0,16000,0
44,56,0,16000,0
53,94,0,16000,0
94,71,0,16000,0
49,3,0,16000,0
11,22,0,16000,0
11,60,0,16000,0
92,92,0,16000,0
37,33,59,545,35
42,60,285,919,25
39,97,350,1346,21
76,58,90,1122,23
42,41,75,400,31
65,41,342,256,34
30,58,135,1088,27
45,85,374,580,35
94,83,184,761,38
68,65,187,1584,25
20,93,154,897,34
68,65,352,394,22
92,16,536,412,28
10,42,436,975,37
77,2,476,358,28
42,60,576,1204,35
9,54,327,1528,21
30,58,306,915,26
65,78,318,551,27
27,28,520,1462,27
42,52,382,884,24
22,61,594,265,29
42,60,643,445,22
42,60,469,719,23
77,2,348,511,23
8,96,480,1524,30
8,18,395,249,25
53,7,750,1591,20
76,70,514,326,23
65,41,549,174,22
65,78,775,436,29
94,83,779,183,30
52,55,727,943,29
20,18,469,136,36
83,97,644,647,31
9,54,812,623,36
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
