XCOORD.,YCOORD.,EST,TWL,DUR
11,22,0,16000,0
53,94,0,16000,0
11,60,0,16000,0
71,50,276,263,27
7,32,28,377,22
78,38,65,1269,34
65,78,368,1100,20
59,63,131,1589,29
86,68,266,1270,22
77,2,419,1254,28
21,53,179,1579,21
8,18,359,1406,23
9,54,301,1520,25
94,83,499,477,32
97,72,509,645,24
83,97,325,198,37
65,41,541,1170,23
18,35,436,1218,25
29,89,280,874,34
89,40,417,1389,34
71,96,238,900,37
10,84,537,1235,29
92,16,284,217,22
10,84,474,759,39
92,16,396,401,35
12,66,573,152,26
75,86,422,532,37
42,60,411,599,31
56,32,640,1066,21
68,65,415,1521,20
53,43,613,1109,21
20,18,539,837,32
68,65,700,652,36
20,93,425,1509,26
56,20,547,1231,31
38,14,470,560,36
56,32,510,1526,28
20,18,708,988,26
27,28,527,950,21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,134.0,178.0,90.0,10.0,90.0,118.0,103.0,108.0,75.0,185.0,4.0,184.0,146.0,112.0,137.0,81.0,13.0,152.0,101.0,136.0,171.0,91.0,171.0,91.0,173.0,127.0,114.0,72.0,105.0,83.0,9.0,105.0,161.0,60.0,36.0,72.0,9.0,16.0
134.0,0.0,50.0,44.0,138.0,56.0,16.0,31.0,38.0,92.0,57.0,137.0,56.0,41.0,49.0,30.0,53.0,127.0,24.0,61.0,20.0,43.0,105.0,43.0,105.0,45.0,22.0,39.0,62.0,29.0,63.0,125.0,29.0,33.0,74.0,98.0,62.0,125.0,118.0
178.0,50.0,0.0,88.0,182.0,100.0,62.0,75.0,83.0,136.0,10.0,181.0,6.0,91.0,94.0,80.0,97.0,171.0,29.0,105.0,70.0,31.0,149.0,31.0,149.0,6.0,72.0,83.0,106.0,73.0,107.0,169.0,73.0,33.0,118.0,142.0,106.0,169.0,162.0
90.0,44.0,88.0,0.0,94.0,12.0,28.0,13.0,18.0,48.0,95.0,93.0,94.0,56.0,26.0,47.0,9.0,83.0,62.0,18.0,46.0,81.0,61.0,81.0,61.0,83.0,37.0,29.0,18.0,15.0,19.0,81.0,15.0,71.0,30.0,54.0,18.0,81.0,74.0
10.0,138.0,182.0,94.0,0.0,94.0,122.0,107.0,112.0,79.0,189.0,14.0,188.0,150.0,116.0,141.0,85.0,11.0,156.0,105.0,140.0,175.0,95.0,175.0,95.0,177.0,131.0,118.0,76.0,109.0,87.0,14.0,109.0,165.0,64.0,40.0,76.0,14.0,20.0
90.0,56.0,100.0,12.0,94.0,0.0,40.0,25.0,30.0,48.0,107.0,93.0,106.0,68.0,34.0,59.0,13.0,83.0,74.0,11.0,58.0,93.0,61.0,93.0,61.0,95.0,49.0,36.0,22.0,27.0,25.0,81.0,27.0,83.0,30.0,54.0,22.0,81.0,74.0
